1, 1, 1, 38420
1, 1, 2, 53764
1, 1, 3, 20161
1, 1, 4, 69117
1, 1, 5, 38863
1, 1, 6, 34103
1, 1, 7, 84049
1, 1, 8, 89775
1, 1, 9, 22154
1, 1, 10, 291861
1, 1, 11, 70413
1, 1, 12, 99861
1, 1, 13, 101891
1, 1, 14, 125112
1, 1, 15, 104330
1, 1, 16, 50179
1, 1, 17, 105417
1, 1, 18, 47654
1, 1, 19, 58769
1, 1, 20, 59325
1, 1, 21, 27595
1, 1, 22, 94296
2, 1, 1, 90203
2, 1, 2, 6534
2, 2, 1, 22540
2, 2, 2, 1228
2, 3, 1, 135408
2, 3, 2, 141813
2, 3, 3, 3663
2, 3, 4, 4512
2, 3, 5, 2300
2, 3, 6, 12095
2, 4, 1, 13943
2, 4, 2, 5786
2, 4, 3, 3501
2, 5, 1, 8425
2, 5, 2, 2284
2, 6, 1, 48207
2, 6, 2, 2047
2, 6, 3, 4947
2, 6, 4, 5315
2, 7, 1, 20618
2, 7, 2, 6445
2, 8, 1, 9686
2, 8, 2, 1953
2, 8, 3, 3137
2, 9, 1, 28617
2, 9, 2, 4646
2, 9, 3, 2645
2, 9, 4, 2833
2, 10, 1, 3534
2, 10, 2, 1211
2, 10, 3, 4163
2, 10, 4, 2410
2, 10, 5, 2051
2, 10, 6, 2820
2, 11, 1, 19663
2, 11, 2, 2783
2, 11, 3, 2472
2, 12, 1, 130082
2, 13, 1, 126474
2, 13, 2, 57231
2, 14, 1, 60859
2, 15, 1, 19122
2, 15, 2, 11217
2, 16, 1, 21925
2, 16, 2, 806
2, 17, 1, 30580
2, 17, 2, 5536
2, 18, 1, 10760
2, 18, 2, 959
2, 19, 1, 8052
2, 19, 2, 1191
2, 20, 1, 6621
2, 20, 2, 1496
2, 21, 1, 7196
2, 21, 2, 1121
3, 1, 1, 26044
3, 1, 2, 3662
3, 1, 3, 3680
3, 1, 4, 3799
3, 1, 5, 4146
3, 1, 6, 3749
3, 2, 1, 5530
3, 2, 2, 12545
3, 2, 3, 1219
3, 2, 4, 2009
3, 2, 5, 4289
3, 3, 1, 42971
3, 3, 2, 2749
3, 3, 3, 11952
3, 3, 4, 14439
3, 3, 5, 11180
3, 4, 1, 9316
3, 4, 2, 4107
3, 4, 3, 10738
3, 5, 1, 17084
3, 5, 2, 3969
3, 6, 1, 96972
3, 6, 2, 7174
3, 6, 3, 22031
3, 6, 4, 5485
3, 7, 1, 44641
4, 1, 1, 42297
4, 1, 2, 4141
4, 1, 3, 54980
4, 1, 4, 46891
4, 1, 5, 43024
4, 1, 6, 47745
4, 1, 7, 41178
4, 1, 8, 56388
4, 2, 1, 43912
