1, 1, 1687037
2, 1, 96737
2, 2, 23768
2, 3, 299791
2, 4, 23230
2, 5, 10709
2, 6, 60516
2, 7, 27063
2, 8, 14776
2, 9, 38741
2, 10, 16189
2, 11, 24918
2, 12, 130082
2, 13, 183705
2, 14, 60859
2, 15, 30339
2, 16, 22731
2, 17, 36115
2, 18, 11719
2, 19, 9243
2, 20, 8117
2, 21, 8317
3, 1, 45080
3, 2, 25592
3, 3, 83291
3, 4, 24161
3, 5, 21053
3, 6, 131662
3, 7, 44641
4, 1, 336641
4, 2, 148855
4, 3, 112966
4, 4, 19965
4, 5, 18073
4, 6, 90200
4, 7, 16676
4, 8, 99550
4, 9, 75846
4, 10, 26600
4, 11, 30795
4, 12, 27128
4, 13, 90826
4, 14, 16085
4, 15, 13062
4, 16, 35619
4, 17, 94734
4, 18, 10666
5, 1, 19619
5, 2, 258329
5, 3, 39655
5, 4, 43427
5, 5, 27988
5, 6, 49491
5, 7, 30104
5, 8, 19338
5, 9, 32052
5, 10, 56937
5, 11, 21068
5, 12, 13017
6, 1, 501314
6, 2, 47952
6, 3, 248107
6, 4, 79500
6, 5, 21156
6, 6, 18609
6, 7, 38894
6, 8, 29708
6, 9, 31972
6, 10, 20239
6, 11, 12387
7, 1, 36761
7, 2, 104916
7, 3, 71297
7, 4, 129565
7, 5, 18725
7, 6, 52483
7, 7, 148244
7, 8, 44679
7, 9, 604609
7, 10, 21842
7, 11, 104789
7, 12, 105861
7, 13, 71544
7, 14, 123598
8, 1, 14319
8, 2, 77077
8, 3, 10777
8, 4, 14632
8, 5, 12317
8, 6, 87113
8, 7, 28043
8, 8, 9376
8, 9, 17482
9, 1, 14419
9, 2, 6975
9, 3, 18222
9, 4, 179087
9, 5, 31240
9, 6, 9372
9, 7, 39130
9, 8, 22518
9, 9, 19780
9, 10, 161974
9, 11, 10699
9, 12, 27511
9, 13, 25520
9, 14, 19359
9, 15, 16994
9, 16, 39327
9, 17, 9070
9, 18, 12375
9, 19, 9905
9, 20, 9284
9, 21, 9681
9, 22, 4559
9, 23, 5782
9, 24, 7586
9, 25, 6018
10, 1, 85529
10, 2, 21124
10, 3, 98054
10, 4, 53992
10, 5, 28862
10, 6, 99786
10, 7, 43724
10, 8, 19546
10, 9, 9021
10, 10, 24140
10, 11, 14735
10, 12, 16786
10, 13, 11480
10, 14, 11158
10, 15, 15875
11, 1, 38752
11, 2, 760955
11, 3, 73883
11, 4, 94238
11, 5, 115782
11, 6, 138741
11, 7, 46523
11, 8, 34420
11, 9, 31486
12, 1, 97299
12, 2, 11608
12, 3, 10062
12, 4, 71467
12, 5, 6876
12, 6, 13548
12, 7, 4952
12, 8, 179842
12, 9, 13281
12, 10, 16169
12, 11, 19036
12, 12, 22067
12, 13, 19628
12, 14, 7978
12, 15, 8258
12, 16, 13661
12, 17, 14364
12, 18, 38863
12, 19, 28906
12, 20, 25677
12, 21, 2937
12, 22, 4209
12, 23, 8548
13, 1, 59651
13, 2, 47805
13, 3, 205793
13, 4, 103061
13, 5, 112649
13, 6, 29883
13, 7, 76067
13, 8, 158982
13, 9, 500084
13, 10, 101774
13, 11, 137605
13, 12, 97158
13, 13, 58520
13, 14, 17048
13, 15, 33280
13, 16, 240379
13, 17, 42952
13, 18, 87369
13, 19, 57798
13, 20, 18556
13, 21, 18163
14, 1, 16318
14, 2, 29356
14, 3, 25935
14, 4, 27972
14, 5, 45487
14, 6, 34952
14, 7, 387594
14, 8, 34790
14, 9, 23166
14, 10, 19286
14, 11, 10916
14, 12, 9063
14, 13, 8636
15, 1, 24355
15, 2, 49311
15, 3, 30008
15, 4, 40599
15, 5, 30377
15, 6, 88621
15, 7, 20495
15, 8, 7686
15, 9, 25695
15, 10, 24017
15, 11, 45435
16, 1, 106422
16, 2, 31825
16, 3, 148548
16, 4, 30207
16, 5, 39563
16, 6, 128095
16, 7, 36580
16, 8, 47547
16, 9, 19690
16, 10, 16537
16, 11, 12941
16, 12, 19425
16, 13, 13790
16, 14, 13336
17, 1, 34887
17, 2, 25158
17, 3, 104315
17, 4, 16799
17, 5, 18714
17, 6, 13479
17, 7, 43736
17, 8, 42858
17, 9, 273485
17, 10, 27400
17, 11, 20624
17, 12, 9124
17, 13, 19413
17, 14, 17744
17, 15, 27696
18, 1, 39441
18, 2, 54563
18, 3, 25570
18, 4, 78127
18, 5, 27796
18, 6, 61495
18, 7, 10284
18, 8, 214181
18, 9, 14571
18, 10, 23126
18, 11, 40419
18, 12, 31632
18, 13, 14881
18, 14, 16604
18, 15, 21147
18, 16, 40089
18, 17, 5684
18, 18, 18474
18, 19, 31156
18, 20, 19227
18, 21, 12442
18, 22, 7856
18, 23, 8490
18, 24, 4343
18, 25, 7837
18, 26, 5526
18, 27, 2732
18, 28, 32584
18, 29, 7078
19, 1, 17429
19, 2, 68311
19, 3, 22242
19, 4, 21935
19, 5, 46716
19, 6, 26002
19, 7, 108187
19, 8, 21548
19, 9, 16081
19, 10, 11929
19, 11, 15726
19, 12, 39036
19, 13, 41157
19, 14, 23594
19, 15, 12893
19, 16, 11788
19, 17, 5221
19, 18, 5972
19, 19, 14952
19, 20, 21162
20, 1, 24215
20, 2, 53344
20, 3, 46353
20, 4, 81454
20, 5, 16546
20, 6, 17584
20, 7, 73768
20, 8, 15847
20, 9, 12753
20, 10, 31861
20, 11, 43525
20, 12, 15939
20, 13, 14068
20, 14, 20255
21, 1, 60484
21, 2, 43048
21, 3, 81930
21, 4, 142526
21, 5, 980284
21, 6, 72203
21, 7, 72535
21, 8, 86875
21, 9, 40103
21, 10, 54273
21, 11, 135506
21, 12, 25900
21, 13, 64312
21, 14, 189377
21, 15, 42039
21, 16, 75016
21, 17, 9392
21, 18, 300419
21, 19, 28000
21, 20, 23539
21, 21, 37398
22, 1, 87218
22, 2, 6652
22, 3, 2379
22, 4, 2844
22, 5, 7114
22, 6, 4930
22, 7, 5641
23, 1, 79815
23, 2, 7308
23, 3, 18473
23, 4, 23151
24, 1, 307765
